Title,IMDB Rating,IMDB Votes,US Gross,Worldwide Gross,Production Budget
How Stella Got Her Groove Back,5.10,3080,37672944,37672944,20000000
Emma,6.80,13798,22231658,37831658,5900000
Quest for Camelot,5.00,3053,22772500,38172500,40000000
The Missing,7.40,19068,26900336,38253433,65000000
Someone Like You,5.80,10073,27338033,38684906,23000000
Whale Rider,7.70,21814,20779666,38833352,4300000
Primary Colors,6.70,15340,39017984,39017984,65000000
Thank You For Smoking,7.80,65340,24793509,39232211,7500000
The Legend of Bagger Vance,6.40,21995,30695227,39235486,60000000
Anna and the King,6.50,14881,39251128,39251128,75000000
The Secret Life of Bees,7.00,7077,37766350,39612166,11000000
Memento,8.70,274524,25544867,39665950,5000000
The Beach,4.50,229,39778599,39778599,50000000
The Boy in the Striped Pyjamas,7.80,21683,9030581,39830581,12500000
I Still Know What You Did Last Summer,4.10,23268,40020622,40020622,24000000
Bless the Child,4.80,7765,29374178,40435694,40000000
Where the Heart Is,6.40,13302,33771174,40862054,15000000
A Good Year,6.80,23149,7459300,42064105,35000000
Freedom Writers,7.50,18065,36605602,43090741,21000000
In the Bedroom,7.50,20888,35930604,43430604,1700000
Exorcist: The Beginning,5.00,15901,41814863,43957541,78000000
Hardball,4.10,165,40222729,44102389,21000000
The Sisterhood of the Traveling Pants 2,6.20,6557,44089964,44154645,27000000
The Jungle Book,5.80,5564,44342956,44342956,27000000
Good Boy!,5.00,1961,37667746,45312217,17000000
The Rainmaker,6.90,20514,45916769,45916769,40000000
A Walk to Remember,7.10,38045,41227069,46060915,11000000
For Love of the Game,6.20,13612,35188640,46112640,50000000
The Nativity Story,6.60,4701,37629831,46432264,35000000
The Black Dahlia,5.60,35210,22672813,46672813,60000000
