Title,IMDB Rating,Worldwide Gross
The Iron Giant,7.9,31333917
Nick and Norah's Infinite Playlist,6.8,31487293
Pinocchio,3.5,31681811
Striptease,3.9,32773011
Mercury Rising,5.8,32983332
Confessions of a Dangerous Mind,7.1,33013805
Confessions of a Teenage Drama Queen,4.3,33051296
Hart's War,6.2,33076815
Blade Runner,8.3,33139618
The Town,8.7,33180607
Wonder Boys,7.5,33422485
Pay it Forward,6.8,33508922
Because of Winn-Dixie,6.1,33589427
Nochnoy dozor,6.5,33923550
The Relic,5.4,33956608
Cirque du Freak: The Vampire's Assistant,6.1,34372469
The Indian in the Cupboard,5.7,35627222
Alive,3.2,36299670
The Thin Red Line,7.5,36400491
The Action/Adventures of Pinocchio,5.3,36682170
Out of Sight,7.1,37562568
How Stella Got Her Groove Back,5.1,37672944
Emma,6.8,37831658
Quest for Camelot,5.0,38172500
The Missing,7.4,38253433
Someone Like You,5.8,38684906
Whale Rider,7.7,38833352
Primary Colors,6.7,39017984
Thank You For Smoking,7.8,39232211
The Legend of Bagger Vance,6.4,39235486
Anna and the King,6.5,39251128
The Secret Life of Bees,7.0,39612166
Memento,8.7,39665950
The Beach,4.5,39778599
The Boy in the Striped Pyjamas,7.8,39830581
I Still Know What You Did Last Summer,4.1,40020622
Bless the Child,4.8,40435694
Where the Heart Is,6.4,40862054
A Good Year,6.8,42064105
Freedom Writers,7.5,43090741
In the Bedroom,7.5,43430604
Exorcist: The Beginning,5.0,43957541
Hardball,4.1,44102389
The Sisterhood of the Traveling Pants 2,6.2,44154645
The Jungle Book,5.8,44342956
Good Boy!,5.0,45312217
The Rainmaker,6.9,45916769
A Walk to Remember,7.1,46060915
For Love of the Game,6.2,46112640
The Nativity Story,6.6,46432264
The Black Dahlia,5.6,46672813
Eternal Sunshine of the Spotless Mind,8.5,47066518
The Wedding Date,5.5,47175038
High Fidelity,7.6,47881663
The Last King of Scotland,7.8,48363516
Leaving Las Vegas,7.6,49800000
Little Women,7.1,50003303
Absolute Power,6.5,50068310
Fever Pitch,6.3,50071069
Sphere,5.6,50168294
K-PAX,7.3,50315140
Pooh's Heffalump Movie,6.3,52858433
Message in a Bottle,5.6,52880016
Into the Wild,8.2,53813837
The Borrowers,5.6,54045832
The Count of Monte Cristo,7.6,54228104
The Mothman Prophecies,6.5,54639865
The Mist,7.4,54777490
Derailed,3.4,54962616
The Ant Bully,6.2,55181129
Clueless,6.7,56598476
A Civil Action/Adventure,6.4,56709981
The Man in the Iron Mask,7.2,56968169
The Specialist,4.9,57362581
Inkheart,6.1,58051454
Must Love Dogs,5.9,58894863
The Insider,8.0,60265197
Kiss the Girls,6.4,60527873
Marie Antoinette,6.4,60862471
The 13th Warrior,6.3,61698899
Flags of Our Fathers,7.2,61902376
Friday Night Lights,7.2,61950770
Captain Corelli's Mandolin,5.7,62097495
Random Hearts,4.8,63200000
The Ghost Writer,7.6,63241549
Precious (Based on the Novel Push by Sapphire),7.5,63471431
High Crimes,6.1,63781100
Wag the Dog,7.0,64252038
Without a Paddle,5.7,65121280
Se jie,7.6,65696051
K-19: The Widowmaker,6.5,65716126
Legends of the Fall,7.1,66502573
102 Dalmatians,4.4,66941559
The Men Who Stare at Goats,6.4,67348218
Other Range,7.5,68293719
Practical Magic,5.5,68336997
Babe: Pig in the City,6.1,69131860
Children of Men,8.1,69450202
Curious George,6.7,70114174
Babylon A.D.,5.3,70216497
What Dreams May Come,6.6,71485043
Rules of Engagement,6.2,71719931
Holes,7.1,72383924
Jackie Brown,7.6,72673162
The Other Boleyn Girl,6.7,72944278
The Kite Runner,7.8,73222245
The Horse Whisperer,6.3,75383563
Dreamcatcher,5.3,75685268
Cruel Intentions,6.7,75803716
The Last Song,3.9,75850384
Revolutionary Road,7.6,76989671
The Sentinel,6.1,77280697
Hostage,7.3,77636443
Apocalypse Now,8.6,78800000
Exit Wounds,5.2,79958599
Hannibal Rising,6.0,80583311
The Constant Gardener,7.6,81079798
The Talented Mr. Ripley,7.2,81292135
Blow,7.4,83282296
The Illusionist,7.7,84276175
"Boot, Das",4.3,84970337
Eyes Wide Shut,7.2,86257553
Peter Pan,7.1,87400000
Bicentennial Man,6.4,87420776
The Tale of Despereaux,6.1,88717945
My Sister's Keeper,7.4,89053995
Paycheck,6.1,89350576
Nanny McPhee and the Big Bang,6.1,90676620
Treasure Planet,6.6,91800000
Secret Window,6.5,92958031
Nim's Island,6.0,94081683
The Lovely Bones,6.6,94702568
Be Cool,5.6,94849401
Syriana,7.1,95024620
Shooter,7.2,95203582
Peter Pan,7.1,95255485
Christmas with the Kranks,4.7,96501902
Jarhead,7.2,96947540
The Time Traveler's Wife,7.1,98666635
The Time Machine,5.6,98983590
Where the Wild Things Are,7.2,99123656
Just Like Heaven,6.8,100687083
Fight Club,8.8,100853753
The Notebook,8.0,102276787
The Hitchhiker's Guide to the Galaxy,6.6,104019112
Don't Say a Word,6.1,104488383
Along Came a Spider,6.1,105159085
About Schmidt,7.3,105823486
The Reader,7.7,106107610
The Prestige,8.4,107896006
Body of Lies,7.2,108394666
The Hours,7.6,108775994
Sideways,7.8,109705641
Arthur et les Minimoys,5.9,110102340
Casino,8.1,110400000
L.A. Confidential,8.4,110604977
Doctor Zhivago,8.0,111721000
Dear John,7.0,112014842
We Were Soldiers,6.9,114658262
Snow Dogs,4.9,115010692
Get Shorty,6.9,115021008
Rambo,7.3,116754105
The Client,6.5,117615211
Charlie Wilson's War,7.3,118661095
Pride and Prejudice,5.5,120918508
Starship Troopers,7.1,121100000
Sahara,5.9,121671925
The Princess Diaries 2: Royal Engagement,5.3,122071435
Nanny McPhee,6.7,122540909
Big Fish,8.1,123432867
Coraline,7.8,124062750
First Blood,7.4,125212904
I Know What You Did Last Summer,5.4,125250091
Julie & Julia,7.2,126646119
1408,6.9,128529299
Mean Girls,7.0,128947227
The Forbidden Kingdom,6.7,129075270
Atonement,7.9,129425746
About a Boy,7.4,129949664
Perfume: The Story of a Murderer,7.5,132180323
The Cat in the Hat,3.4,133818283
Sense and Sensibility,7.7,134993774
Stardust,7.9,135556675
The Jungle Book 2,5.2,135703599
Bridge to Terabithia,7.4,136934139
Cloudy with a Chance of Meatballs,7.2,139525862
Anastasia,6.6,139801410
The Devil's Own,5.8,140900000
Charlotte's Web,6.7,143985708
Seabiscuit,7.4,148336445
The General's Daughter,6.1,149705852
The Bone Collector,6.3,151463090
Congo,4.6,152022333
A Time to Kill,7.1,152266007
Chocolat,7.3,152500343
Mystic River,8.0,156835191
21,6.7,157852532
Memoirs of a Geisha,7.1,161510853
Payback,5.8,161626121
Cold Mountain,7.3,161632614
No Country for Old Men,8.3,162103209
The Spiderwick Chronicles,6.8,162839667
The Princess Diaries,5.9,165334774
Sleepers,7.3,165600852
Contact,7.3,165900000
Stuart Little 2,5.6,166000000
Mr. Deeds,5.5,171269535
Black Hawk Down,7.7,173638745
The Bridges of Madison County,7.2,175516617
How to Lose a Guy in 10 Days,6.1,177079973
The Haunting,4.6,180188905
Brokeback Mountain,7.8,180343761
The First Wives Club,5.6,181489203
Atlantis: The Lost Empire,6.4,186049020
Knowing,6.4,187858642
The Sum of All Fears,6.3,193500000
Beowulf,6.6,194995215
Lemony Snicket's A Series of Unfortunate Events,6.9,201627117
JFK,8.0,205400000
Red Dragon,7.3,206455420
Sleepy Hollow,7.5,207068340
Clear and Present Danger,6.8,207500000
Jaws 2,5.6,208900376
Master and Commander: The Far Side of the World,7.5,209486484
Public Enemies,7.1,210379983
The Bourne Identity,7.7,213300000
Dracula,6.4,215862692
Million Dollar Baby,8.2,216763646
The Prince of Egypt,6.8,218600000
Jumper,5.9,222117068
Interview with the Vampire: The Vampire Chronicles,7.4,223564608
Yes Man,7.0,225990976
