Title,IMDB Rating,Worldwide Gross
Star Trek: Nemesis,6.4,67312826
The X-Files: I Want to Believe,5.9,68369434
Pokemon 3: The Movie,3.5,68452128
Land of the Lost,5.3,69548641
Jackass: The Movie,6.3,75466905
Edge of Darkness,6.7,78739628
Jackass: Number Two,7.2,83578712
State of Play,7.3,91445389
Speed Racer,6.3,93394462
Star Trek II: The Wrath of Khan,7.8,96800000
Inspector Gadget,3.9,97387965
Jimmy Neutron: Boy Genius,5.9,102992536
The Dukes of Hazzard,4.7,110570227
Star Trek: Insurrection,6.4,117800000
Star Trek: Generations,6.5,120000000
Bewitched,4.8,131413159
Lost In Space,4.8,136117629
Star Trek: The Motion Picture,6.2,139000000
The Rugrats Movie,5.4,140894685
Star Trek: First Contact,7.6,150000000
Miami Vice,6.0,163818556
The Saint,5.9,169400000
Starsky & Hutch,6.2,170200225
George Of The Jungle,5.3,174463257
Scooby-Doo 2: Monsters Unleashed,4.8,181185387
Wayne's World,6.9,183097323
S.W.A.T.,5.9,198100000
Traffic,7.8,208300000
Wild Wild West,4.3,222105681
Charlie's Angels: Full Throttle,4.7,227200000
Mr. Bean's Holiday,6.0,229736344
High School Western/Musical 3: Senior Year,3.7,251056401
Borat,7.7,261572744
Charlie's Angels,5.5,263200000
Scooby-Doo,4.7,276294164
Casper,5.7,282300000
Sex and the City 2,3.9,288347692
The Flintstones,4.6,358500000
Alvin and the Chipmunks,5.5,360578644
The Fugitive,7.8,368900000
Star Trek,8.2,385680447
Mission: Impossible III,6.9,397501348
Sex and the City,5.4,416047258
Mission: Impossible,6.9,456481886
The Simpsons Movie,7.6,527071022
Mission: Impossible 2,6.9,546209889
Transformers,7.3,708272592
Transformers: Revenge of the Fallen,6.0,836303693
Hedwig and the Angry Inch,7.6,3643900
Rent,6.9,31670620
Evita,6.1,151947179
Dreamgirls,6.6,154965956
The Phantom of the Opera,7.2,158225796
Grease,7.0,206005260
Chicago,7.2,307687518
The Country Bears,3.8,16988996
Pirates of the Caribbean: The Curse of the Black Pearl,8.0,655011224
Pirates of the Caribbean: At World's End,7.0,960996492
Pirates of the Caribbean: Dead Man's Chest,7.3,1065659812
In Her Line of Fire,3.5,884
The Californians,5.1,4134
Say Uncle,5.7,5361
London,7.7,12667
Donkey Punch,5.4,19367
The Dead Girl,6.8,19875
Leaves of Grass,6.9,20987
The Good Night,6.0,22441
Arnolds Park,5.1,23616
Good Dick,6.4,28835
The Calling,3.4,32092
The Chumscrubber,7.0,49526
Fong juk,7.3,51957
The Mudge Boy,7.1,62544
Cavite,6.0,71644
Nomad,5.5,79123
Freeze Frame,6.3,91062
Sommersturm,7.6,95204
Mutual Appreciation,7.0,103509
Winter Passing,6.4,113783
The Grand,6.1,115879
Come Early Morning,6.2,119452
There Goes My Baby,6.3,125169
Police Academy 7: Mission to Moscow,2.5,126247
The Wendell Baker Story,5.5,127188
Bubble,4.6,145382
Lonesome Jim,6.7,154187
The Business of Fancy Dancing,7.0,174682
Cama adentro,7.2,200433
Ira and Abby,6.3,221096
Civil Brand,4.9,254293
The Lucky Ones,7.1,266967
Chairman of the Board,2.1,306715
City of Ghosts,5.9,325491
Feast,6.4,341808
Southland Tales,5.6,364607
The Quiet,6.5,381420
The Square,6.8,406216
Fido,6.9,419801
Brooklyn Rules,6.4,458232
Things to Do in Denver when You're Dead,6.6,529766
Dream With The Fishes,6.6,542909
Manderlay,7.4,543306
Poolhall Junkies,6.8,563711
Primer,6.9,565846
Sherrybaby,6.7,622806
Orgazmo,6.0,627287
The Brown Bunny,4.9,630427
Journey from the Fall,7.2,635305
Heroes,6.1,655538
The Princess and the Cobbler,7.3,669276
Dayereh,7.3,673780
The Salton Sea,7.1,676698
Saint Ralph,7.5,795126
MirrorMask,7.0,864959
Venom,4.6,881745
Pandora's Box,4.6,881950
La otra conquista,6.1,886410
Panic,2.7,889279
The Brothers Solomon,5.2,900926
September Dawn,5.5,901857
Delgo,4.4,915840
Bacheha-Ye aseman,8.0,925402
Imagine Me & You,6.7,972243
Twin Falls Idaho,7.1,1027228
Undiscovered,3.7,1069318
Dinner Rush,7.2,1075504
Blood and Wine,6.1,1083350
Slam,3.4,1087521
The R.M.,5.5,1111615
L.I.E.,7.2,1138836
Chuck&Buck,6.5,1157672
Trois,3.3,1161843
Groove,5.8,1167524
Casa de Areia,7.5,1178175
Fiza,6.5,1179462
Slow Burn,5.9,1237615
Outlander,6.4,1250617
The Singles Ward,5.7,1250798
Kansas City,6.0,1353824
American Desi,6.7,1366235
The Funeral,6.4,1412799
Northfork,6.3,1445140
Time Changer,5.0,1500711
Chocolate: Deep Dark Secrets,4.6,1549000
The Blue Butterfly,6.2,1610194
Walking and Talking,6.5,1615787
Gun Shy,5.4,1638202
Marci X,2.4,1646664
Festen,8.1,1647780
Tango,6.9,1687311
Ararat,6.6,1693000
Hard Candy,7.2,1881243
Cecil B. Demented,5.9,1953882
Osama,7.4,1971479
Shortbus,6.7,1985292
Limbo,6.9,2016687
The Broken Hearts Club: A Comedy,6.6,2022442
"Happy, Texas",7.5,2039192
Ravenous,6.9,2062406
Zero Effect,6.8,2080693
Mallrats,7.1,2108367
Shadow Conspiracy,4.7,2154540
DysFunkTional Family,5.9,2255000
Teeth,5.5,2300349
Hav Plenty,5.6,2301777
Two Girls and a Guy,5.6,2315026
Gabriela,5.5,2335352
Bamboozled,6.3,2373937
Buffalo '66,7.3,2380606
You Kill Me,6.7,2426851
The Incredibly True Action/Adventure of Two Girls in Love,5.8,2477155
Unforgettable,5.7,2483790
Quinceanera,7.1,2522787
Novocaine,5.8,2522928
Trust the Man,5.8,2548378
But I'm a Cheerleader,6.1,2595216
The Wackness,7.1,2635650
God's Army,6.8,2652515
Junebug,7.1,2678010
No Man's Land,8.0,2684207
Love Stinks,5.3,2793776
Raising Victor Vargas,7.1,2811439
The White Countess,6.5,2814566
eXistenZ,6.8,2840417
Letters to God,4.4,2848587
Cradle Will Rock,6.7,2899970
Waiting for Guffman,7.4,2922988
Songcatcher,6.9,3050934
Sunshine State,6.8,3064356
Clerks,7.9,3073428
Jawbreaker,4.8,3076820
Beautiful,4.4,3134509
Tadpole,6.1,3200241
Romance and Cigarettes,6.2,3231251
Supercross,2.9,3252550
Romeo Is Bleeding,6.3,3275585
Pieces of April,7.2,3284124
Pootie Tang,4.5,3293258
The Company,6.2,3396508
Full Frontal,4.8,3438804
Camping Sauvage,6.0,3479302
Cats Don't Dance,6.9,3588602
The Lost City,6.6,3650302
Thirteen Conversations About One Thing,7.1,3705923
Better Luck Tomorrow,7.1,3809226
L'auberge espagnole,7.3,3895664
Brick,7.5,3918941
8 Heads in a Duffel Bag,4.8,4002884
Idle Hands,5.8,4023741
King's Ransom,3.5,4049527
Donnie Darko,8.3,4116307
Whipped,4.2,4142507
Detroit Rock City,6.4,4217115
Men with Brooms,5.8,4239767
Glitter,2.0,4273372
Soul Survivors,3.6,4288246
Four Rooms,6.4,4301000
PCU,6.0,4333569
Meet the Deedles,3.4,4356126
On the Line,3.4,4356743
Bogus,4.8,4357406
Simply Irresistible,4.8,4398989
Flawless,6.7,4485485
Mumford,6.7,4559569
Pi,7.5,4678513
Lovely and Amazing,6.8,4695781
Held Up,4.7,4714090
Diary of the Dead,6.0,4726656
Welcome to the Dollhouse,7.3,4726732
Duets,5.7,4734235
A Walk on the Moon,6.4,4741987
Igby Goes Down,7.0,4777465
Slackers,4.9,4814244
"Paris, je t'aime",6.6,4857374
Girl 6,4.9,4880941
Hamlet 2,6.4,4898285
Bubble Boy,5.4,5002310
Exotica,7.1,5046118
High Tension,5.4,5208449
The In Crowd,4.2,5217498
Black and White,6.6,5241315
Love Letters,7.3,5269990
Before Sunrise,8.0,5274005
Frozen River,7.2,5281776
C'era una volta il West,8.8,5321508
Equilibrium,7.7,5345869
Me and You and Everyone We Know,7.4,5409058
Made,6.3,5476060
Say It Isn't So,4.6,5516708
For Your Consideration,6.2,5549923
College,4.3,5629618
Underclassman,3.3,5654777
The Pallbearer,4.7,5656388
Kundun,7.0,5686694
Happiness,6.5,5746453
Light It Up,5.4,5871603
Harsh Times,7.0,5963961
Foolish,3.8,6026908
Deuces Wild,5.3,6044618
Celebrity,6.1,6200000
Dick,6.1,6276869
What Planet Are You From?,5.4,6291602
Bound,7.4,6300000
Thirteen,7.0,6302406
Warriors of Virtue,4.0,6448817
Switchback,6.1,6504442
Lucky You,5.9,6521829
Swingers,6.2,6542637
Lost and Found,4.8,6552255
Femme Fatale,6.3,6592103
American History X,8.6,6719864
The Forsaken,5.1,6755271
Moonlight Mile,6.7,6830957
Namastey London,6.7,6831069
200 Cigarettes,5.4,6852450
IndigËnes,7.2,6877936
Moon,8.0,6934829
Sexy Beast,7.1,6946056
Screwed,5.1,6982680
Crossover,1.7,7009668
An American Carol,4.5,7013191
Veer-Zaara,7.3,7017859
The Action/Adventures of Pluto Nash,3.7,7094995
Gigli,2.4,7266209
Phat Girlz,2.2,7271305
The Jerky Boys,3.9,7555256
Ong-Bak 2,4.7,7583050
The Station Agent,7.8,7773824
Serial Mom,6.4,7881335
The Alamo,5.9,7900000
Connie & Carla,6.0,8047525
Woo,3.4,8064972
Firestorm,4.4,8123860
Birthday Girl,6.0,8130727
Code Name: The Cleaner,4.0,8135024
A Simple Wish,4.9,8165213
White Noise 2: The Light,5.9,8243567
Shadow of the Vampire,6.8,8279017
Running Scared,7.5,8345277
Bon Voyage,6.5,8361736
Death to Smoochy,6.2,8374062
Bones,3.9,8378853
Play it to the Bone,5.1,8427204
Les invasions barbares,7.8,8460000
De battre mon coeur s'est arrÍtÈ,7.3,8589831
Suspect Zero,5.8,8712564
The Rocker,6.3,8767338
The Inkwell,5.7,8864699
"Mystery, Alaska",5.5,8891623
Trippin',4.6,9017070
Super Babies: Baby Geniuses 2,1.4,9109322
Bella,7.3,9220041
Stone Cold,4.6,9286314
Black Snake Moan,7.1,9396870
Sleepover,4.6,9408183
Ta Ra Rum Pum,5.1,9443864
Jade,4.8,9812870
3 Strikes,2.9,9821335
Maria Full of Grace,7.6,9892434
Brazil,8.0,9929135
Lucky Numbers,4.9,10014234
Cutthroat Island,5.3,10017322
Le Violon rouge,7.7,10019109
Dirty Work,4.8,10020081
Duplex,5.7,10070651
The Wash,3.6,10097096
Saved!,7.0,10102511
Away We Go,7.3,10108016
Alpha and Omega 3D,6.2,10115431
Bats,3.3,10155691
Facing the Giants,6.0,10178331
Woman on Top,4.9,10192613
I Got the Hook-Up!,3.3,10317779
Knock Off,4.1,10319915
Town & Country,4.4,10364769
The Man,5.4,10393696
Head Over Heels,4.8,10397365
First Daughter,4.7,10419084
The Brothers McMullen,6.4,10426506
The Cooler,7.0,10464788
Narc,7.3,10465659
Bandidas,5.6,10496317
Home Fries,4.7,10513979
Lars and the Real Girl,7.5,10553442
Mad City,6.1,10561038
Three to Tango,5.8,10570375
Drop Dead Gorgeous,6.2,10571408
The Astronaut's Wife,4.9,10672566
Deconstructing Harry,7.2,10686841
Universal Soldier II: The Return,3.4,10717421
Here on Earth,4.6,10845127
Extract,6.4,10849158
Antitrust,6.0,10965209
The Astronaut Farmer,6.4,11003643
You Can Count on Me,7.7,11005992
Deep Rising,5.7,11203026
Banlieue 13,7.1,11208291
Chill Factor,4.9,11263966
Before Sunset,8.0,11293790
Beyond Borders,6.2,11427090
Turbulence,4.5,11532774
The Cookout,3.2,11540112
Two Lovers,7.3,11549034
The Order,4.9,11559747
Get Over It,5.5,11560259
The Muse,5.5,11614954
3 Ninjas Kick Back,3.2,11744960
End of the Spear,6.7,11748661
Tales from the Hood,5.8,11784569
Mulholland Drive,7.9,11919578
Dark Blue,6.6,11933396
Holy Man,4.7,12069719
Confidence,6.8,12212417
Abandon,4.8,12219367
Chasing Liberty,5.8,12291975
Undisputed,5.8,12398628
Knockaround Guys,6.0,12419700
Breakin' All the Rules,5.3,12512317
Sorority Boys,5.1,12516222
Gattaca,7.8,12532777
Love Jones,6.7,12554569
Extreme Ops,4.1,12624471
Idlewild,5.8,12669914
"Bon Cop, Bad Cop",6.9,12671300
The Omega Code,3.3,12678312
Highlander: Endgame,4.3,12801190
Slither,6.6,12834936
They,4.6,12840842
Highlander,7.2,12900000
Living Out Loud,6.5,12905901
Lone Star,7.6,12961389
The Crew,6.0,13019253
Crooklyn,6.5,13024170
The Way of the Gun,6.5,13061935
Anything Else,6.4,13203044
FearDotCom,3.1,13208023
American Outlaws,5.6,13264986
Rachel Getting Married,6.9,13326280
Secrets & Lies,7.9,13417292
Tomcats,4.9,13558739
Osmosis Jones,6.0,13596911
The Ladies Man,4.7,13719474
Highlander III: The Sorcerer,3.8,13738574
Juwanna Man,4.1,13771817
She's the One,6.0,13795053
Monsoon Wedding,7.2,13876974
Dirty Pretty Things,7.5,13904766
Out Cold,5.8,13906394
Stealing Harvard,4.7,13973532
In Too Deep,5.5,14026509
In the Land of Women,6.7,14140402
Supernova,6.8,14218868
Freddy Got Fingered,4.0,14249005
Sukkar banat,7.0,14253760
Ballistic: Ecks vs. Sever,3.4,14294842
Turistas,6.9,14321070
Hot Rod,6.5,14334401
Les Triplettes de Belleville,7.7,14440113
Mrs. Henderson Presents,7.1,14466366
Welcome to Mooseport,5.2,14469428
Run Lola Run,6.0,14533173
Soul Plane,3.7,14553807
Envy,4.6,14566246
I Heart Huckabees,6.8,14584713
Birth,6.3,14603001
Raise Your Voice,5.2,14811980
Hollywood Ending,6.3,14839383
Eve's Bayou,7.0,14843425
Flirting with Disaster,6.7,14853474
Boat Trip,4.7,14933713
Twilight,6.1,15055091
Dead Man on Campus,5.6,15064948
Transamerica,7.6,15151744
Chasing Amy,7.5,15155095
The Corruptor,5.8,15164492
Friends with Money,6.1,15328368
Alex & Emma,5.4,15358583
See No Evil,5.0,15387513
Drowning Mona,5.3,15427192
The Jacket,7.1,15452978
The Fountain,7.4,15461638
The Weather Man,6.9,15466961
Bait,5.6,15471969
My Boss's Daughter,4.3,15549702
Cry Wolf,6.4,15585495
Ulee's Gold,7.0,15600000
Larry the Cable Guy: Health Inspector,2.8,15680099
The Good Girl,6.6,15976468
Kung Pow: Enter the Fist,5.7,16033556
Imagine That,5.4,16123323
The Visitor,6.8,16194905
American Dreamz,5.7,16510971
Mindhunters,6.2,16566235
Baby's Day Out,5.0,16581575
Paparazzi,5.7,16612072
54,5.6,16757163
"House of 1,000 Corpses",5.5,16829545
Godsend,4.7,16910708
Win a Date with Tad Hamilton!,5.7,16980098
Central do Brasil,8.0,17006158
Pandorum,6.9,17033431
CachÈ,5.5,17147381
Center Stage,6.2,17200925
Eight Legged Freaks,5.4,17266505
The Matador,6.9,17290120
Max Keeble's Big Move,5.1,17292381
My Baby's Daddy,4.0,17322212
Half Baked,6.3,17394881
Frailty,7.3,17423030
A Guy Thing,5.5,17430594
Rebound,4.7,17492014
Roll Bounce,5.0,17500866
Disturbing Behavior,5.2,17507368
The Contender,6.9,17804273
12 Rounds,5.4,18184083
Daddy Day Camp,2.4,18197398
Harold & Kumar Go to White Castle,7.2,18225165
Loser,5.0,18250106
Eye of the Beholder,4.6,18260865
Sugar Hill,5.3,18272447
Empire,6.5,18495444
The Curse of the Jade Scorpion,6.7,18496522
An Unfinished Life,7.1,18535575
The Quick and the Dead,6.3,18552460
A Mighty Wind,7.2,18552708
The Girl Next Door,7.0,18589444
3000 Miles to Graceland,5.6,18708848
Akeelah and the Bee,7.6,18948425
Once,8.0,18997174
The Replacement Killers,5.9,19035741
Rushmore,7.8,19080435
2046,7.5,19202856
Half Past Dead,4.1,19233280
Rock Star,5.8,19317765
Saving Silverman,5.6,19351569
The Perfect Man,5.1,19535005
Vampire in Brooklyn,4.3,19637147
Summer Catch,4.6,19693891
Hard Rain,5.6,19870567
Fled,4.9,19892205
crazy/beautiful,6.3,19929123
Down to You,4.4,20035310
Reign Over Me,7.7,20081987
Serving Sara,5.0,20146150
Showgirls,4.1,20254932
City Hall,6.1,20278055
Kids,6.7,20412216
Rendition,6.9,20437142
The Last Castle,6.5,20541668
The Kids Are All Right,7.8,20553799
Walk Hard: The Dewey Cox Story,6.7,20575121
A Perfect Getaway,6.5,20613298
Best in Show,7.4,20695413
Eurotrip,6.5,20718223
Ultraviolet,4.0,20722064
Boys Don't Cry,7.6,20741000
Georgia Rule,5.8,20819601
Amores Perros,8.1,20883834
The Devil's Rejects,6.9,20940428
Tales from the Crypt: Demon Knight,6.4,21089146
ATL,4.7,21170563
The Apostle,7.1,21277770
He Got Game,6.8,21567853
Doomsday,6.0,21621188
Furry Vengeance,2.6,21630465
Little Black Book,5.2,21758371
Boys and Girls,4.9,21799652
Mr. 3000,5.6,21827296
Unaccompanied Minors,3.7,21949214
Joy Ride,5.4,21973182
Don Juan DeMarco,6.6,22032635
Man of the House,4.2,22099706
The Medallion,4.7,22108977
The Marine,4.5,22165608
Waitress,7.2,22202180
My Fellow Americans,6.3,22331846
At First Sight,5.6,22365133
Two Can Play That Game,5.6,22391450
Swimming Pool,6.8,22441323
The Glass House,5.6,22861785
Rounders,7.3,22921898
Super Troopers,6.8,23046142
The Players Club,4.8,23047939
Stay Alive,4.5,23187506
The Usual Suspects,8.7,23341568
Reindeer Games,5.5,23360779
Hustle & Flow,7.5,23563727
Dickie Roberts: Former Child Star,5.5,23734486
The Guru,5.5,23788368
Life as a House,7.5,23889158
Corky Romano,4.2,23978402
Virtuosity,5.3,23998226
Angel Eyes,5.5,24044532
Renaissance Man,5.9,24172899
Saving Grace,6.8,24325623
The Next Best Thing,4.4,24355762
Arlington Road,7.2,24419219
Joe Somebody,5.3,24515990
Punch-Drunk Love,7.4,24591031
Seed of Chucky,5.1,24716190
The Wood,6.1,25059640
Cursed,4.8,25114901
Can't Hardly Wait,6.2,25358996
Escape from L.A.,5.3,25426861
Desperado,7.0,25532388
From Dusk Till Dawn,7.1,25728961
Ice Princess,6.0,25732334
All About the Benjamins,5.3,25873145
Clerks II,7.7,25894473
The New World,6.9,26184400
Dumb and Dumberer: When Harry Met Lloyd,3.3,26214846
The Whole Ten Yards,5.1,26323969
Igor,6.0,26608350
Ghost Town,4.7,26612350
Blast from the Past,6.4,26613620
Event Horizon,6.3,26673242
Spy Hard,4.7,26936265
The Big Hit,5.8,27066941
The Story of Us,5.6,27100030
The Cave,4.8,27147991
Baby Geniuses,2.2,27151490
Dark City,7.8,27257061
The Upside of Anger,7.0,27361993
Air Bud,4.6,27555061
Goal!,6.9,27610873
Traitor,7.1,27664173
Love and Basketball,6.7,27709625
Menace II Society,7.4,27731527
Nurse Betty,6.4,27732366
Friday,7.0,27936778
The Brothers,2.8,27958191
Loaded Weapon 1,5.7,27979399
Grosse Point Blank,7.4,28084357
Brown Sugar,6.0,28315272
Heist,3.2,28483168
Be Kind Rewind,6.6,28505302
Swimfan,4.6,28563926
Wrong Turn,5.8,28649556
Agent Cody Banks 2: Destination London,4.1,28703083
Baby Boy,6.1,28734552
Boiler Room,6.9,28773637
The Life of David Gale,7.3,28920188
The New Guy,5.4,28972187
Far From Heaven,7.5,29027914
Rang De Basanti,8.1,29197694
Bulworth,6.8,29203383
A Low Down Dirty Shame,5.4,29317886
The Prince & Me,5.6,29356757
Across the Universe,7.5,29367143
Shaun of the Dead,8.0,29629128
Small Time Crooks,6.5,29934477
Laws of AttrAction/Adventure,5.7,29948322
Night of the Living Dead,6.6,30000000
Dragonfly,5.8,30063805
Jane Austen's Mafia,5.0,30143795
The Art of War,5.5,30199105
Love Happens,5.5,30206355
Stick It,5.9,30399714
Cabin Fever,5.4,30553394
A Serious Man,7.2,30710147
Awake,6.5,30757745
In Bruges,8.1,30782621
Joe Dirt,5.4,30987695
How High,5.5,31260435
Lost Souls,4.5,31320293
Johnson Family Vacation,3.8,31462753
Lage Raho Munnabhai,7.8,31517561
Mr. Nice Guy,5.2,31716953
That Thing You Do!,6.7,31748615
Lake Placid,5.3,31770413
Sunshine,7.3,32030610
Copycat,6.5,32051917
Dance Flick,3.4,32092761
Kingpin,6.7,32223424
Garden State,7.9,32381151
Being John Malkovich,7.9,32382381
Krrish,6.1,32430721
Darkness Falls,4.6,32539681
Kabhi Alvida Naa Kehna,5.6,32575443
Return to Me,6.6,32662299
The Invention of Lying,6.5,32679264
Jennifer's Body,5.3,32832166
Agora,7.3,32912303
88 Minutes,5.9,32955399
Dracula 2000,4.8,33000377
Black Knight,4.3,33422806
The Long Kiss Goodnight,6.6,33447612
Fireproof,5.6,33451479
Red Planet,5.3,33463969
Friday After Next,5.3,33526835
Hostel: Part II,5.4,33606409
Crank,7.1,33824696
Hotel Rwanda,8.3,33919128
Instinct,6.2,34105207
Darkness,5.3,34409206
The Best Man,6.1,34572780
Everyone Says I Love You,6.8,34600000
Jack Frost,4.6,34645374
Disaster Movie,1.7,34690901
Death at a Funeral,5.1,34743644
My Best Friend's Girl,5.8,34787111
The Life Aquatic with Steve Zissou,7.2,34806726
Freddy's Dead: The Final Nightmare,4.5,34872033
The Skulls,5.3,35007180
EDtv,6.0,35319689
Basic Instinct 2,3.9,35417162
My Dog Skip,6.9,35512760
Jeepers Creepers II,5.3,35623801
Wu ji,5.6,35869934
Set It Off,6.3,36049108
Quarantine,6.1,36091811
The Glimmer Man,4.9,36404841
Titan A.E.,6.4,36751979
Kiss of the Dragon,6.3,36833473
Zack and Miri Make a Porno,7.0,36851125
Jersey Girl,6.2,37066129
The Majestic,6.8,37306334
The Boat That Rocked,7.5,37472651
The Banger Sisters,5.5,38067218
Ri¢hie Ri¢h,4.7,38087756
Employee of the Month,5.4,38117718
Undercover Brother,5.7,38230435
Head of State,5.1,38283765
Just My Luck,5.0,38326650
After the Sunset,6.2,38329114
Happily N'Ever After,3.9,38344430
What's the Worst That Could Happen?,5.0,38462071
Urban Legends: Final Cut,3.7,38574362
On Deadly Ground,3.8,38590458
Happy Gilmore,6.9,38623460
Clockstoppers,5.0,38788828
Scoop,6.8,39125717
Enough,6.5,39177215
Never Back Down,6.2,39319801
Crocodile Dundee in Los Angeles,4.6,39393111
Two Brothers,6.0,39925603
Fly Me To the Moon,4.7,40098231
Twisted,4.8,40119848
I Am Sam,7.4,40270895
The Faculty,6.3,40283321
La mala educaciÛn,7.5,40311842
The Master of Disguise,3.0,40363530
War,6.2,40666994
Leatherheads,6.1,40830862
House on Haunted Hill,5.2,40846082
Money Talks,5.7,41076865
The Mirror Has Two Faces,6.0,41267469
Gosford Park,7.3,41300105
Ronin,7.2,41610884
The Fourth Kind,6.0,41826604
Wimbledon,6.3,41862585
Into the Blue,5.7,41982227
Defiance,5.9,42268745
Basic,6.3,42598498
Tom yum goong,6.9,43044087
See Spot Run,4.9,43057552
Boogie Nights,7.9,43111725
Harold & Kumar Escape from Guantanamo Bay,6.7,43231984
The Wrestler,8.2,43236603
Orange County,6.1,43308707
Raising Helen,5.7,43340302
Pride and Glory,6.7,43440721
Soul Food,6.4,43492389
Welcome Home Roscoe Jenkins,4.5,43607627
The One,5.6,43905746
The Transporter,6.6,43928932
Dogma,7.3,43948865
A Man Apart,5.7,44114828
Lakeview Terrace,6.3,44263506
Deuce Bigalow: European Gigolo,4.3,44400154
Push,6.0,44411527
The Hurt Locker,7.8,44468574
The Gift,6.7,44567606
The Sweetest Thing,4.7,44633441
Meet Joe Black,6.9,44650003
Monster's Ball,7.2,44873922
Cop Out,5.7,44875481
The Hunted,5.8,45016494
Domestic Disturbance,5.3,45207112
Stranger Than Fiction,7.8,45235190
Cellular,6.5,45261739
LÈon,8.6,45284974
Keeping the Faith,6.5,45336404
Dancer in the Dark,7.8,45557491
Torque,3.5,46176322
The Big Lebowski,8.2,46189568
Get Rich or Die Tryin',4.0,46437122
9,7.8,46603791
Crazy Heart,7.4,47163756
The Watcher,3.7,47267829
Almost Famous,8.0,47371191
Book of Shadows: Blair Witch 2,4.0,47721314
A Lot Like Love,6.4,47835784
Secondhand Lions,7.5,47855342
You Got Served,2.6,48066497
G.I.Jane,5.5,48169156
The Game,7.7,48265581
Magnolia,8.0,48446802
Daybreakers,6.6,48969954
Danny the Dog,7.1,49037621
The Negotiator,7.2,49105766
Drillbit Taylor,5.9,49686263
Sky Captain and the World of Tomorrow,6.3,49730854
This Christmas,5.4,49778552
The Women,7.9,50042410
The Replacements,6.2,50054511
Grindhouse,7.9,50187789
Team America: World Police,7.3,50274834
The Tuxedo,5.0,50586000
Meet Dave,4.8,50648806
Bride of Chucky,5.3,50692188
Elizabethtown,6.4,50719373
The Mighty Ducks,5.9,50752337
Hollywood Homicide,5.2,51107785
Maximum Risk,4.9,51702929
Hanging Up,4.3,51867723
Other Water,5.9,52100882
One Hour Photo,7.0,52223306
Big Fat Liar,5.2,52375275
Untraceable,6.1,52649951
Pitch Black,7.0,53182088
Bounce,5.5,53399300
Mickey Blue Eyes,5.7,53864342
The Abyss,7.6,54243125
Varsity Blues,6.0,54294169
Spanglish,6.7,54344321
Driven,4.2,54616869
We Own the Night,7.0,54700285
Analyze That,5.6,54994757
Jeepers Creepers,5.7,55026845
Out of Time,4.9,55489826
Lucky Number Slevin,7.8,55495466
Wild Things,6.6,55576699
The Craft,5.9,55669466
The Animal,4.6,55762229
Kicking and Screaming,6.9,55842724
Smokin' Aces,6.6,56047261
A Knight's Tale,6.6,56083966
Just Married,5.1,56127162
15 Minutes,6.1,56331864
Drumline,5.2,56398162
Cradle 2 the Grave,5.4,56434942
Murder by Numbers,5.9,56643267
Crossroads,6.6,57000000
The Descent,7.4,57029609
Ninja Assassin,6.3,57422883
Year One,5.0,57604723
Heartbreakers,6.2,57753825
Agent Cody Banks,5.1,58240458
Little Nicky,5.0,58270391
The Ninth Gate,6.6,58394308
Jack,5.3,58617334
The Imaginarium of Doctor Parnassus,7.1,58692979
Behind Enemy Lines,6.1,58855732
Good Luck Chuck,5.6,59183821
Space Chimps,4.5,59517784
Next Friday,5.3,59675307
Bad Santa,7.3,60063017
Chain ReAction/Adventure,5.2,60209334
21 Grams,7.9,60448701
Shanghai Knights,6.2,60470220
Zoolander,6.4,60780981
Saw VI,6.2,61259697
The Cell,6.2,61280963
Flatliners,6.4,61308153
Valiant,5.6,61746888
Mouse Hunt,6.1,61894591
Snakes on a Plane,6.0,62020814
28 Days,5.8,62063972
Lord of War,7.7,62142629
Honey,4.6,62192232
The Reaping,5.6,62226214
Not Another Teen Movie,5.5,62401343
Like Mike,4.4,62432423
Snow Day,4.4,62452927
The Crying Game,7.3,62546695
Lions for Lambs,6.2,63211088
She's All That,5.4,63465522
In Good Company,6.8,63489752
Stuck On You,5.9,63537164
Cop Land,6.9,63706632
28 Weeks Later,7.1,64238440
Legion,5.0,64622938
The Benchwarmers,5.4,64843754
Street Kings,7.0,65589243
16 Blocks,6.7,65595141
The Road to El Dorado,6.4,65700000
Barbershop 2: Back in Business,5.5,65842412
Changing Lanes,6.5,66790248
Boogeyman,3.9,67192859
Austin Powers: International Man of Mystery,7.1,67683989
Outbreak,6.4,67823573
Frequency,7.3,68079671
Star Wars: The Clone Wars,5.4,68161554
Ghost Ship,5.3,68349884
Thirteen Ghosts,5.1,68467960
Bad Company,5.3,69157016
The Action/Adventures of Sharkboy and Lavagirl in 3-D,3.6,69425966
The Kid,5.9,69688384
The House Bunny,5.5,70237389
Anacondas: The Hunt for the Blood Orchid,4.3,70326393
License to Wed,5.1,70799818
Shallow Hal,6.0,70836296
Groundhog Day,8.2,70906973
Kate and Leopold,6.2,70937778
XXX: State of the Union,4.1,71073932
Shanghai Noon,6.6,71189835
The Royal Tenenbaums,7.6,71430876
Bandits,6.5,71523271
Small Soldiers,5.9,71743823
Funny People,6.8,71880305
Urban Legend,5.2,72571864
Lady in the Water,5.8,72785169
Life,5.3,73521587
The Core,5.3,74132631
Das Leben der Anderen,8.5,75284657
Serendipity,6.6,75294136
Tin Cup,6.1,75854588
Stomp the Yard,4.3,76356221
